Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-July-2020,101.75,101.85,99.85,100.20,100.702987469741381655,477963,3273,48132302.00,141511,29.61,2.00,-1.55
17-July-2020,97.00,101.85,97.00,100.95,99.715359436718704244,614684,2848,61293436.00,110213,17.93,4.85,3.95
16-July-2020,97.15,97.80,94.45,96.75,96.042977059216988351,331898,1789,31876472.00,70931,21.37,3.35,-0.40
15-July-2020,99.80,99.85,96.60,96.95,98.269073186044749461,369524,2163,36312781.00,114305,30.93,3.25,-2.85
14-July-2020,101.10,102.20,98.30,99.05,99.698059377903632582,565025,5120,56331896.00,187352,33.16,3.90,-2.05
13-July-2020,104.40,104.40,100.35,101.15,101.735112936344969199,362815,2249,36911025.00,131062,36.12,4.05,-3.25
10-July-2020,106.00,106.00,102.15,102.40,103.380011050908401164,485028,2725,50142200.00,158164,32.61,3.85,-3.60
9-July-2020,104.80,107.45,103.10,105.50,105.864115347699721948,1779524,12712,188387734.00,395546,22.23,4.35,0.70
8-July-2020,103.50,104.15,101.85,102.70,103.082324970310176829,427756,2238,44094083.00,97502,22.79,2.30,-0.80
7-July-2020,104.50,104.85,101.80,102.70,103.089139040893090175,729512,3780,75204764.00,144997,19.88,3.05,-1.80
6-July-2020,104.90,104.90,103.10,103.65,103.799605962640148574,407068,2377,42253498.00,104151,25.59,1.80,-1.25
3-July-2020,104.30,105.75,103.10,104.85,104.622107017219033512,669724,4133,70067936.00,112500,16.80,2.65,0.55
2-July-2020,104.00,106.05,103.15,103.45,104.483117569217196844,779864,5646,81482622.00,260235,33.37,2.90,-0.55
1-July-2020,102.20,103.45,100.30,103.00,101.990885565406887340,455212,3651,46427475.00,165481,36.35,3.15,0.80
30-June-2020,104.90,104.90,101.40,102.15,102.254970934792839587,917936,3387,93863519.00,495824,54.02,3.50,-2.75
29-June-2020,105.00,105.80,102.75,103.55,103.971381705962818068,668174,4763,69470974.00,278567,41.69,3.05,-1.45
26-June-2020,104.90,105.50,102.80,105.15,104.658765038533448495,1258517,8045,131714835.00,577838,45.91,2.70,0.25
25-June-2020,104.00,106.90,102.45,103.15,104.772205159731903625,2296786,10940,240639334.00,364023,15.85,4.45,-0.85
24-June-2020,100.05,104.25,98.55,101.35,101.246097679312833080,2588716,14377,262097393.00,762466,29.45,5.70,1.30
23-June-2020,99.00,100.25,97.85,99.25,99.186019784046481666,783965,3980,77758368.00,241649,30.82,2.40,0.25
22-June-2020,99.45,100.60,98.05,98.30,99.800974345922169795,1532310,8151,152926031.00,912031,59.52,2.55,-1.15
19-June-2020,98.00,100.25,97.55,99.50,99.142529480067440188,2198689,7450,217983589.00,1610377,73.24,2.70,1.50
18-June-2020,96.85,98.90,95.85,97.00,97.332634777241992037,737235,4647,71757025.00,233544,31.68,3.05,0.15
17-June-2020,97.00,97.50,95.60,96.30,96.451178009764629399,1296721,4933,125070268.00,872842,67.31,1.90,-0.70
16-June-2020,101.00,102.00,95.40,97.50,98.135515953596398289,1007077,4307,98830021.00,430684,42.77,6.60,-3.50
15-June-2020,96.85,101.50,94.75,99.60,96.610258204720981918,3326469,10826,321371029.00,536030,16.11,6.75,2.75
12-June-2020,93.80,96.95,91.50,96.40,95.322110046025810552,1019428,4837,97174028.00,126085,12.37,5.45,2.60
11-June-2020,98.05,104.15,94.80,95.50,99.249898317681075151,2077549,9696,206196527.00,301279,14.50,9.35,-2.55
10-June-2020,101.00,101.45,96.30,98.05,98.209231537763263601,536487,3206,52687976.00,170260,31.74,5.15,-2.95
9-June-2020,105.00,105.55,100.35,101.10,102.400904936153414008,658610,4021,67442260.00,141266,21.45,5.20,-3.90
8-June-2020,101.30,106.30,99.00,104.80,104.122686107026518457,1689955,8475,175962654.00,247771,14.66,7.30,3.50
5-June-2020,98.00,99.00,96.60,97.85,97.643601277048598793,352375,1929,34407164.00,88563,25.13,2.40,-0.15
4-June-2020,97.50,98.80,96.05,97.20,97.472131620382351837,506183,2818,49338736.00,95622,18.89,2.75,-0.30
3-June-2020,97.55,99.75,95.80,96.30,97.642676464047241503,553073,3260,54003528.00,147356,26.64,3.95,-1.25
2-June-2020,93.80,97.10,91.00,96.65,94.746196904899644425,1109754,4668,105144971.00,352546,31.77,6.10,2.85
1-June-2020,94.90,94.95,91.60,92.00,93.055140353471582355,527454,2895,49082306.00,121818,23.10,3.35,-2.90
29-May-2020,89.05,93.55,88.50,92.35,91.316984479907120403,365204,2549,33349328.00,102093,27.96,5.05,3.30
28-May-2020,89.20,91.30,87.90,89.05,89.415149107661990084,901228,3627,80583436.00,460457,51.09,3.40,-0.15
27-May-2020,89.90,89.90,86.60,88.85,87.884253677901016673,886715,3054,77928286.00,580521,65.47,3.30,-1.05
26-May-2020,87.95,88.60,86.25,88.20,87.826881510575492181,409910,2444,36001117.00,128595,31.37,2.35,0.25
22-May-2020,87.80,87.80,85.00,87.20,86.301553801779958379,1085531,4689,93683012.00,815198,75.10,2.80,-0.60
21-May-2020,87.30,88.25,85.50,87.95,87.169260121050954972,577608,3556,50349662.00,154212,26.70,2.75,0.65
