Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-July-2020,1689.60,1713.65,1665.80,1692.25,1688.823577906018136850,13343,1647,22533973.00,1307,9.80,47.85,2.65
17-July-2020,1646.60,1698.20,1635.20,1675.00,1667.607352613188610512,26902,2710,44861973.00,5816,21.62,63.00,28.40
16-July-2020,1709.00,1757.90,1622.00,1653.30,1685.600958480966657581,88056,7946,148427278.00,14430,16.39,135.90,-55.70
15-July-2020,1566.25,1695.20,1559.20,1689.95,1650.010557501939852806,85058,6148,140346598.00,13970,16.42,136.00,123.70
14-July-2020,1579.30,1617.30,1535.50,1541.10,1575.659385483379078987,26232,2561,41332697.00,4581,17.46,81.80,-38.20
13-July-2020,1590.00,1632.30,1580.70,1587.20,1606.703178734083093224,21518,2126,34573039.00,2198,10.21,51.60,-2.80
10-July-2020,1566.10,1598.40,1549.50,1592.35,1581.018846339113680154,16608,1880,26257561.00,2805,16.89,48.90,26.25
9-July-2020,1549.90,1616.00,1549.90,1566.10,1580.818176422583277691,67395,5698,106539241.00,8952,13.28,66.10,16.20
8-July-2020,1514.00,1549.00,1492.45,1539.10,1527.944379314836524684,30708,3269,46920116.00,6070,19.77,56.55,25.10
7-July-2020,1454.00,1576.90,1443.80,1513.20,1534.222759446609230329,111892,8981,171667253.00,8707,7.78,133.10,59.20
6-July-2020,1420.55,1461.00,1420.55,1436.15,1445.077986982798698279,17208,1846,24866902.00,5897,34.27,40.45,15.60
3-July-2020,1425.80,1443.50,1414.05,1420.55,1429.723015133041669655,13943,1640,19934628.00,2423,17.38,29.45,-5.25
2-July-2020,1390.75,1443.25,1390.75,1414.15,1424.682073503450489488,12462,1574,17754388.00,2128,17.08,52.50,23.40
1-July-2020,1408.95,1418.55,1375.00,1384.80,1387.672320335723028501,11438,1591,15872196.00,3021,26.41,43.55,-24.15
30-June-2020,1439.20,1439.20,1401.00,1409.70,1423.554663804768792870,21431,1345,30508200.00,2821,13.16,38.20,-29.50
29-June-2020,1499.90,1499.90,1407.95,1416.30,1434.244788014026139623,31370,3113,44992259.00,11407,36.36,91.95,-83.60
26-June-2020,1385.00,1505.00,1385.00,1461.30,1469.804166254002839127,60582,6156,89043676.00,5608,9.26,120.00,76.30
25-June-2020,1361.00,1385.60,1352.00,1378.20,1373.179035960214231063,26140,2615,35894900.00,2704,10.34,33.60,17.20
24-June-2020,1379.95,1432.00,1355.00,1388.15,1393.381655053058250216,21957,2350,30594481.00,3770,17.17,77.00,8.20
23-June-2020,1331.90,1374.00,1329.00,1367.50,1359.072228290551611141,14648,1370,19907690.00,2924,19.96,45.00,35.60
22-June-2020,1347.00,1355.05,1325.30,1336.50,1342.029216022770080783,23891,2552,32062420.00,9021,37.76,29.75,-10.50
19-June-2020,1385.15,1389.95,1322.20,1332.25,1346.364554122265844083,7132,818,9602272.00,2936,41.17,67.75,-52.90
18-June-2020,1340.80,1396.95,1340.80,1369.95,1372.942077771329077190,25845,3001,35483688.00,5321,20.59,56.15,29.15
17-June-2020,1336.85,1368.80,1322.65,1339.75,1348.911293017039759438,5986,898,8074583.00,1065,17.79,46.15,2.90
16-June-2020,1344.00,1367.85,1328.25,1346.45,1351.852056906580699418,14269,1948,19289577.00,5074,35.56,39.60,2.45
15-June-2020,1349.00,1377.15,1325.10,1333.80,1347.383611312545322697,6895,1309,9290210.00,1416,20.54,52.05,-15.20
12-June-2020,1330.00,1352.60,1305.95,1346.00,1329.043650793650793650,18900,1355,25118925.00,1267,6.70,46.65,16.00
11-June-2020,1425.00,1425.00,1354.10,1368.95,1381.845867255416034221,7247,1151,10014237.00,2081,28.72,70.90,-56.05
10-June-2020,1426.00,1432.90,1390.05,1404.40,1410.762613128055757827,9613,1207,13561661.00,1749,18.19,42.85,-21.60
9-June-2020,1464.50,1465.90,1382.60,1414.75,1424.589518397336547844,17421,1951,24817774.00,3136,18.00,83.30,-49.75
8-June-2020,1469.10,1500.75,1444.25,1450.90,1473.561891643709825528,10890,1323,16047089.00,2571,23.61,56.50,-18.20
5-June-2020,1415.00,1517.60,1415.00,1469.10,1492.765000793273044581,31515,3211,47044489.00,4060,12.88,102.60,54.10
4-June-2020,1440.00,1458.30,1432.25,1444.70,1442.919611709388745639,6593,723,9513169.00,1406,21.33,26.05,4.70
3-June-2020,1480.00,1484.65,1440.00,1443.90,1462.333840935834429293,14447,1261,21126337.00,1710,11.84,44.65,-36.10
2-June-2020,1460.00,1486.75,1450.00,1457.30,1465.428165231814232683,12661,1400,18553786.00,1418,11.20,36.75,-2.70
1-June-2020,1492.00,1502.20,1447.10,1450.65,1470.294958548061841810,22315,2282,32809632.00,2310,10.35,55.10,-41.35
29-May-2020,1472.90,1495.70,1445.55,1451.15,1463.903057459146020031,18970,1791,27770241.00,2103,11.09,50.15,-21.75
28-May-2020,1507.15,1508.60,1458.90,1472.90,1472.332369377466880300,25589,1797,37675513.00,10157,39.69,49.70,-34.25
27-May-2020,1489.60,1513.35,1469.50,1495.65,1494.492407629608175762,24169,1852,36120387.00,5788,23.95,43.85,6.05
26-May-2020,1499.90,1526.45,1463.00,1486.45,1485.178569920175697934,23677,1901,35164573.00,6563,27.72,63.45,-13.45
22-May-2020,1452.00,1573.45,1448.00,1505.50,1527.524259194583993767,74446,6407,113718071.00,4125,5.54,125.45,53.50
21-May-2020,1423.00,1451.00,1397.90,1442.45,1429.077420424403183023,12064,1178,17240390.00,2575,21.34,53.10,19.45
20-May-2020,1373.15,1423.10,1373.15,1414.10,1406.440572133885137588,13773,1120,19370906.00,1459,10.59,49.95,40.95
19-May-2020,1354.70,1406.95,1349.95,1373.75,1383.457384114697862608,22738,2156,31457054.00,2099,9.23,57.00,19.05
18-May-2020,1359.15,1390.30,1329.70,1344.25,1372.484002521039558076,53946,3786,74040022.00,22475,41.66,60.60,-14.90
15-May-2020,1348.80,1373.55,1335.15,1357.45,1356.612367547050450735,12646,1198,17155720.00,671,5.31,38.40,8.65
14-May-2020,1420.00,1420.00,1326.60,1347.80,1359.898730881874389847,15365,1575,20894844.00,3724,24.24,93.40,-72.20
13-May-2020,1499.00,1499.00,1408.45,1418.80,1430.483783554915742230,11809,1365,16892583.00,1590,13.46,90.55,-80.20
12-May-2020,1430.10,1453.85,1398.10,1431.20,1429.326261585993820803,14565,1839,20818137.00,1638,11.25,55.75,1.10
11-May-2020,1404.95,1466.45,1401.25,1435.65,1435.230062570074867083,27649,2875,39682676.00,2885,10.43,65.20,30.70
8-May-2020,1370.05,1431.00,1362.60,1401.05,1405.724525468058109122,38617,3765,54284864.00,2716,7.03,68.40,31.00
7-May-2020,1424.00,1424.00,1350.00,1373.80,1376.165733668580103420,42158,4581,58016395.00,4032,9.56,74.00,-50.20
6-May-2020,1233.00,1437.15,1228.15,1420.50,1356.475294297410692116,157069,13687,213060218.00,20472,13.03,209.00,187.50
5-May-2020,1210.00,1234.70,1178.65,1188.45,1207.084245329806579599,30245,3088,36508263.00,4031,13.33,56.05,-21.55
4-May-2020,1151.00,1225.00,1151.00,1180.35,1191.926303555391198689,56787,5932,67685919.00,4753,8.37,74.00,29.35
30-April-2020,1183.00,1245.00,1183.00,1204.75,1222.819277711084433773,19992,2441,24446603.00,4246,21.24,62.00,21.75
29-April-2020,1195.00,1246.00,1163.75,1180.00,1213.406278638562690479,46921,5055,56934236.00,4335,9.24,82.25,-15.00
28-April-2020,1141.65,1215.10,1141.65,1180.40,1181.291552571364267226,53318,6465,62984103.00,4401,8.25,73.45,38.75
27-April-2020,1109.95,1171.70,1079.75,1120.60,1118.787384152202695104,55137,7237,61686580.00,3604,6.54,91.95,10.65
24-April-2020,1168.00,1197.00,1084.45,1117.05,1130.891204989107684421,46822,5381,52950588.00,2947,6.29,112.55,-50.95
23-April-2020,1096.25,1222.30,1096.25,1179.20,1174.324918463297894870,47218,4254,55449274.00,6259,13.26,126.05,82.95
22-April-2020,1042.75,1109.00,1022.95,1085.10,1057.060115959719255416,16385,2190,17319930.00,3105,18.95,86.05,42.35
21-April-2020,1067.00,1067.00,1030.00,1041.05,1046.569462078182425659,14965,1911,15661912.00,2429,16.23,37.00,-25.95
20-April-2020,1149.95,1149.95,1081.90,1088.85,1102.264050694613697294,20515,2454,22612947.00,3299,16.08,68.05,-61.10
17-April-2020,1150.00,1161.45,1102.25,1112.55,1128.783446603490635270,31341,3182,35377202.00,4220,13.46,59.20,-37.45
16-April-2020,1070.00,1115.15,1055.80,1078.85,1081.619094813346547737,12108,2029,13096244.00,1636,13.51,59.35,8.85
